case_id,source_file,sha256,status,strict_snapshot_closed,provider_families
ca2-00003c2c7afe8e9ef32d,ca2-00003c2c7afe8e9ef32d.json,f3fa7bad89b12cc2cfb1255ef347a02b1ac250d343428c998308dad638b54cb4,VERIFIED,True,alchemy|infura
ca2-001b14467ef9b84b416a,ca2-001b14467ef9b84b416a.json,6e3d7d53ea89ea169bba424eed75cf6eb8e8b287b16af2c1fda2b301be7318b4,VERIFIED,True,alchemy|infura
ca2-003bb3e01f9c7c13410b,ca2-003bb3e01f9c7c13410b.json,07d0ecd430be2ff1e31dca248933cc10212feb5dc236936ec92a779b1d58846e,VERIFIED,True,alchemy|infura
ca2-0062515827b6285930f2,ca2-0062515827b6285930f2.json,2dc0cdf61e3fa90a9982854e6f746fef35dfd45d8f3872ae5666f8330f7008f8,VERIFIED,True,alchemy|infura
ca2-0064b472336ec4210007,ca2-0064b472336ec4210007.json,a1132612d6ae2f6640163040f01d0fc93f9a7c98093f708da89014b28b3f5bc2,VERIFIED,True,alchemy|infura
ca2-0119280f82385cf56670,ca2-0119280f82385cf56670.json,341bb8d2ef0510a939899a81fc319e066a103e778a0afdd9517b2c490d4e5501,VERIFIED,True,alchemy|infura
ca2-01398b37f50bcbb8adc6,ca2-01398b37f50bcbb8adc6.json,099d08bc9540e9d03363eb1b7b3fa22185c629123b8c30b94e4362cd39323c50,VERIFIED,True,alchemy|infura
ca2-0214cb74200856148943,ca2-0214cb74200856148943.json,273b59f94192df3268d906472642893f529707b719c55439435baa43c5ab2772,VERIFIED,True,alchemy|infura
ca2-024816e85dcbd941c181,ca2-024816e85dcbd941c181.json,5a482ff9306a0603c12a0d35a7bcfa344382fd8fdc446ea5757e12213820736f,VERIFIED,True,alchemy|infura
ca2-02e1298629b75e4dec93,ca2-02e1298629b75e4dec93.json,8ffc37604fc949f3779a3334aa58164e9a0d20d78536b215f926b58d68be59d6,VERIFIED,True,alchemy|infura
ca2-03a929a60d6ca387d4bb,ca2-03a929a60d6ca387d4bb.json,f0035ee657812a0ff8aee5420461ba86beede8a3e20a42624484c70870387dc2,VERIFIED,True,alchemy|infura
