case_id,chain,address,implementation_address,admin_address,beacon_address,beacon_implementation_address,eip1167_target,has_any_proxy_indicator
ca2-001b14467ef9b84b416a,bsc,0x977087422c008233615b572fbc3f209ed300063a,0xeb3e6e2a30b2c23ac3442fbb25d6fe2fe495e3c3,0x3ff830dbc1cf4dca3c16203f2f29ce48c2e83ce8,,,,True
ca2-02e1298629b75e4dec93,bsc,0xdbf1c56b2ad121fe705f9b68225378aa6784f3e5,0x0d116ed40831fef8e21ece57c8455ae3b1e4041b,0x87e31f333981162c5d16c9802ea2b5addb1df767,,,,True
ca2-03a929a60d6ca387d4bb,ethereum,0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,0x9b3be0cc5dd26fd0254088d03d8206792715588b,,,,,True
ca2-0583d91c7785bb31ad8f,base,0x7b5969bb51fa3b002579d7ee41a454ac691716dc,0x574027c70abd7b25953b2cd060ed7827fd2c7b03,0x7f5a7ae2688a7ba6a9b36141335044c058a08b3e,,,,True
ca2-0687f6e05dc58457935a,ethereum,0x2409af0251dcb89ee3dee572629291f9b087c668,0x05bfa9157e92690b179033ca2f6dd1e86b25ea4d,,,,,True
ca2-0bc1321f2d440dbae4b1,bsc,0xd990094a611c3de34664dd3664ebf979a1230fc1,0x02a4b53926bad267df700ff8e9f5d4a2516bb1fc,0x00a534b2ebdf2ee9f3f743211aa57d1448e5f69a,,,,True
ca2-0bd28c93ecf3fec1d833,ethereum,0x5f360c6b7b25dfbfa4f10039ea0f7ecfb9b02e60,0x93dafd75f3f809d6a940e3971d401cfcc78f328c,,,,,True
ca2-15ae4c22b54f390dc4fe,bsc,0x8087720eeea59f9f04787065447d52150c09643e,0x13dc7f825e5b97be1f53b7db4253a7c73b5068d6,,,,,True
ca2-29064c97bd3050d5cc0b,bsc,0x34bd6dba456bc31c2b3393e499fa10bed32a9370,0x35afc46f5392304eab8e57ecfc4a93170db415e2,0x8f8c3495800c708eae49df3269c60e9575240b41,,,,True
ca2-297229c8f057f9088676,ethereum,0x047d41f2544b7f63a8e991af2068a363d210d6da,0x317b8e2739616c9ea30c4f7e51c1d48c47876ef6,0x029e4fbdaa31de075dd74b2238222a08233978f6,,,,True
ca2-2ba749707a4aa17e7fd0,ethereum,0xbb02a884621fb8f5bfd263a67f58b65df5b090f3,,,,,0x4a9cb5d0b755275fd188f87c0a8df531b0c7c7d2,True
ca2-33375f53486ac02fc6d2,bsc,0xbf5baea5113e9eb7009a6680747f2c7569dfc2d6,0x01f521187169e19c519e09e24638bca927def30a,0x9dc3482f55420b4649f4eb5a8eade5a5c71560b1,,,,True
ca2-3d8e91015c9360a5a76f,bsc,0xb390b07fcf76678089cb12d8e615d5fe494b01fb,0xc60c6854d10c034718aca198fe92d73eb83b744c,0x07f6521bbcb71d166d6e2e116d21b6d21f2dd5fa,,,,True
ca2-40ca8a9aca77ecfbfe71,arbitrum,0xf7ca7384cc6619866749955065f17bedd3ed80bc,0x9bbc2890239bd144dd6f6f0b65cda56c597fb88b,0x35e55f3bb78f650804fdc7d365e9d018aaafe813,,,,True
ca2-4146cf0ae387533d1340,bsc,0xd0fbf0a224563d5ffc8a57e4fda6ae080ebcf3d3,,,,,0xf642f2a626a8b732619606c493abfc2433dd2d35,True
ca2-441ed1a86d9edadc1707,bsc,0x6fb2020c236bbd5a7ddeb07e14c9298642253333,0xd8cd8896d333acac3a0c155ccdb630660b4d03d3,0x085a27b00206f4463bcf8037fced804282bd16ec,,,,True
ca2-5168eea9714e081f78ad,ethereum,0x35d8949372d46b7a3d5a56006ae77b215fc69bc0,0x3bbd5136122818c7a6dc2022e014e426dbf16f09,0x65a7042460932a8e7b6aa9c765c2bae5f4535c22,,,,True
ca2-55d26359a2d08ac915c0,bsc,0xe613c058701c768e0d04d1bf8e6a6dc1a0c6d48a,0x084646db9177f19913462c388ee5b18bb135229f,0x256c94f29f8aa7e484f2a246c5c5ca26fe923a58,,,,True
ca2-5c90f11e08cf22426454,ethereum,0x2b083beaac310cc5e190b1d2507038ccb03e7606,0x47c69e8c909ce626af73c955a5e34a20b7c71f19,0xf16d93acf337de38ee55dfb2f2a276883ff59e89,,,,True
ca2-5e2d8f30a0d9b1dc548d,bsc,0x2b9bda587ee04fe51c5431709afbafb295f94bb4,0xaff18b43dfb44d9b56c2b88e8569b3b0880c2a56,0x721475bd09652ba43c18082f3b532d4a569959dd,,,,True
ca2-5ec981d26607ce3dec41,bsc,0xce1b3e5087e8215876af976032382dd338cf8401,0x88e05c0dd235cfff7d128194ca70327c95074975,,,,,True
ca2-610c56fd6c594f9c9f90,ethereum,0x764c64b2a09b09acb100b80d8c505aa6a0302ef2,0xc186e6f0163e21be057e95aa135edd52508d14d3,0xab749bccbee148dbd273bff4840cfdf751491c0a,,,,True
ca2-6123dfbf4db930b4d1d5,ethereum,0xc36a7887786389405ea8da0b87602ae3902b88a1,0xa1fba7f2079131acb3e2073563ec53c8d43bc144,0x1c51a05b25c1f980b74d82e3f984c9d4f2a41e15,,,,True
ca2-61c7c0bc0fd854fd8541,ethereum,0x051ebd717311350f1684f89335bed4abd083a2b6,,,,,0x2bbd66fc4898242bdbd2583bbe1d76e8b8f71445,True
ca2-62fc7b9b9ac57e1b7351,bsc,0x6b869795937dd2b6f4e03d5a0ffd07a8ad8c095b,0xa15f6044660735914b3740f76be8f5573944d0ca,0xe795fefdfe8ca1668191ec2d9181487e668d74a4,,,,True
ca2-6996a5993263d8986598,ethereum,0x3d20601ac0ba9cae4564ddf7870825c505b69f1a,0x51bdbfcd7656e2c25ad1bc8037f70572b7142ecc,0xe71bb31cc8c309fba16c10686943227bfc2f9b06,,,,True
ca2-6e5acd680aa3d14315b9,ethereum,0x53fbcada1201a465740f2d64ecdf6fac425f9030,0x3a6d9bf8286a4ada77c15ecf82d4c0c0af95be74,,,,,True
ca2-6e83ea5ad89c085e5f5b,bsc,0x42981d0bfbaf196529376ee702f2a9eb9092fcb5,0x381aef9eac247760473d305d31c1605d1c03d0bb,0xa6f662994bf46627f12c023b22a28618eb7ce893,,,,True
ca2-6f776e614c2662f41a7a,ethereum,0x75b7db3e11138134fe4744553b5e5e3d6546d289,0xd377919fa87120584b21279a491f82d5265a139c,,,,,True
ca2-746ec2d0566ffbda9c0f,ethereum,0xbaa87546cf87b5de1b0b52353a86792d40b8ba70,0xa9f08c2df8e09b32eefa85f5ec459c040248b06c,,,,,True
ca2-77cd38b96a68c54afe71,ethereum,0x0c6c80d2061afa35e160f3799411d83bdeea0a5a,0x4a10354b8e1928c38cc6a738cd2748fa1c818cea,,,,,True
ca2-7c6082cada48d720f171,bsc,0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b,0xcbc6f8dfbb439a8adc863251b656c1cd89ccbd1e,0x93c517e5191cc2a453b1564672ec1a7e3a58aa5d,,,,True
ca2-7d8bff5c879f84e09ee4,bsc,0xe9d1d2a27458378dd6c6f0b2c390807aed2217ca,0x2bcc7bf861eced9c64d0ea239bbf00036babf7b3,0x8490514534565cd91575325bae93e3652eaaf93c,,,,True
ca2-7f64659ac37a0996268b,ethereum,0x9f72dc67cec672bb99e3d02cbea0a21536a2b657,0x6b75a3b072369bee8f873477266ac168beb73dab,,,,,True
ca2-87c7a2d034157234fe09,ethereum,0xa44e79a2c9a8965e7a6fa77bf0ca8faf50e6c73e,,,,,0x44d1c6b94b282c678c95b7f4b18de5a53ea4fa9f,True
ca2-8b19d47d1a3d23da742b,ethereum,0x6e799758cee75dae3d84e09d40dc416ecf713652,0x72469eb66de133f2a39573867809ed64b9b1739f,0xcb89134b4253861194750bcb4007612ccfffad55,,,,True
ca2-9035062d2e632d8ca752,ethereum,0x1f006f43f57c45ceb3659e543352b4fae4662df7,0x678fd96fd3d057a30ab1569bfe72e51446d8dfc1,0x5f54e265ae36240aae48faca1014c3ef3542b429,,,,True
ca2-93739b94fa0816bd6234,ethereum,0x2409af0251dcb89ee3dee572629291f9b087c668,0x05bfa9157e92690b179033ca2f6dd1e86b25ea4d,,,,,True
ca2-9653ab400e10fa0c044d,ethereum,0x2405913d54fc46eeaf3fb092bfb099f46803872f,,,,,0x4cb4e3d9e2032e4561ae93ec4815126371bbd0ce,True
ca2-96f82ac8ed9b6f3e4f14,ethereum,0x4deca517d6817b6510798b7328f2314d3003abac,0x35dd16dfa4ea1522c29ddd087e8f076cad0ae5e8,,,,,True
ca2-99c425ac31ee8abd76f2,ethereum,0xbdb515028a6fa6cd1634b5a9651184494abfd336,0x21dbe7debd0ab102508cf03a055ece9056872e09,0xd06ef24eb2da8b3e5a042da39ec303dd9162e0a6,,,,True
ca2-9d4246988ce873fd7f25,bsc,0xef9a10d6abfd5d3aa345a008c0f9132ce4b23e70,0x683280fe34c4f99c63c8c779867a1d67a572fb23,0xcb057fc408d22d2551bb03aecd4284fcbb933544,,,,True
ca2-9ed4dcb42bc3e395722f,bsc,0x6f40a3d0c89cffdc8a1af212a019c220a295e9bb,0x1e62cdcdc1807b7eb703b47908c42955999b4320,0x1e4ae76bc2385a80470a40fa3b763674e62ed2b2,,,,True
ca2-a03b0bc9fabb86e707cb,ethereum,0x49ad262c49c7aa708cc2df262ed53b64a17dd5ee,0x36b05531e42231956793faa42541923a056bdfaa,,,,,True
ca2-a20ccf47b4d8c4cfab79,bsc,0xa8987285e100a8b557f06a7889f79e0064b359f2,0x0500f0ac1280d2b70e8775729b50d2b8c24a8cae,0x3a1657c731023118fde9c0fa38aca57ba706c6fa,,,,True
ca2-a40aff558c4a5d19fdb1,bsc,0xb7e1d1372f2880373d7c5a931cdbaa73c38663c6,0x0df9d225ccfaa21ceb0b2ab6855b13dffa78d253,,,,,True
ca2-aa4fa44d86c046a9915f,ethereum,0x48afbbd342f64ef8a9ab1c143719b63c2ad81710,0xb112841c67d94d9536d356631224340e2ef27b39,0x806f870ee04a2cc8bf2ad053baa5ed9999a1f182,,,,True
ca2-aa992d5980e00838b209,ethereum,0x91383a15c391c142b80045d8b4730c1c37ac0378,0xf4d903941d2682b218ddb2281e64550fba130d9b,0x313685511044e64291aca8a652ea8924885bd3de,,,,True
ca2-ad9d57e62841ea9096b7,ethereum,0x4822d9172e5b76b9db37b75f5552f9988f98a888,0x1d591ba6ae10a6eb4050e1acbbb2d0be899e61f2,0x94db9b9d725a39f01816987dedc6fd00d58dce65,,,,True
ca2-b47e7dc1b2b6c8992cce,ethereum,0x05641e33fd15baf819729df55500b07b82eb8e89,,,,,0x539d54074e052ae82de4936ae6bb213ab773559e,True
ca2-b5a8e682aba465a7a0f6,bsc,0xd188492217f09d18f2b0ece3f8948015981e961a,0x1eabb7b90fac3b4143c551a02b41e741f7457efa,,,,,True
ca2-ba0418d74fad65f2483c,ethereum,0x3541499cda8ca51b24724bb8e7ce569727406e04,0x464120b7104a99c8fec863e8643bbaca93e7ac64,0xae67d50fda6e3ccce040bc588e26b15a2f568a58,,,,True
ca2-be2ba09219e40ecb6cb2,ethereum,0x7259e152103756e1616a77ae982353c3751a6a90,,,,,0xc4113ae18e0d3213c6a06947a2ffc70ad3517c77,True
ca2-c2f4de8010f571d74d0d,ethereum,0xe2fe530c047f2d85298b07d9333c05737f1435fb,0xd4745c03d9b9d5bbeabb952cd5ad3f97ca64c675,0xdcaa5df48ab11d753012da79adda00ebafe29e5d,,,,True
ca2-c6799af1babe7f32f44f,ethereum,0xd45740ab9ec920bedbd9bab2e863519e59731941,0x89f795740c3f7cfe465fa854d330dd89fad6770d,0x0d230ddf8a849b6e3ff6b9fd9aff5a61f0243b22,,,,True
ca2-c7f02a40db88500f3ae5,ethereum,0x7b190a928aa76eece5cb3e0f6b3bdb24fcdd9b4f,0x94290106d2a32bc89be9f1c3a3f3394f64578aa6,0x22a55b36022a26eaf73137a0ed0c77aa2dcf9113,,,,True
ca2-c9c1817a98610ef26f01,ethereum,0xf0b7de03134857391d8d43ed48e20edf21461097,,,,,0xde71b24fe56358cc0adfd6f2e0f6d8ed9e2cf634,True
ca2-ca3ec401a279f9b471a6,ethereum,0x20e5e35ba29dc3b540a1aee781d0814d5c77bce6,0x79fc1d290aa81338f377f6271c499662d6301e65,0x40151e5d012e7de6000f7144288ef50af78882be,,,,True
ca2-cc76e9ac975f3c46bb14,ethereum,0x4c4564a1fe775d97297f9e3dc2e762e0ed5dda0e,,,,,0x364b7e2d5b11b9d2016d232fa271d89d5e6065f1,True
ca2-d0b1ccc1d33cfcce8cbb,bsc,0xe445654f3797c5ee36406dbe88fbaa0dfbddb2bb,0xfdded988f34d9fd2f8d79234b145be104a913dec,,,,,True
ca2-e24739584c716694ba60,ethereum,0x46f54d434063e5f1a2b2cc6d9aaa657b1b9ff82c,,,,,0x5e70f7acb8ec0231c00220d11c74dc2b23187103,True
ca2-e7cd16bb64166a6efe64,ethereum,0x65c210c59b43eb68112b7a4f75c8393c36491f06,,,,,0x45e15d1e4f92f28a916f4f2971ad9adc278e148b,True
ca2-ee795333beb4dcb94cce,ethereum,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,0x5966e2a40e65954d229f020e989be296ec116746,0xee913f6f0016db2929a0b2061a38f1461ef93477,,,,True
ca2-f2fdba3be5c566aed586,ethereum,0x4e34dd25dbd367b1bf82e1b5527dbbe799fad0d0,,,,,0xc86d2555f8c360d3c5e8e4364f42c1f2d169330e,True
ca2-f359ea85ce584fc54da1,bsc,0xd511096a73292a7419a94354d4c1c73e8a3cd851,0xc39c54868a4f842b02a99339f4a57a44efc310b8,0xe33aa245b3d74d4117caa00564ac55d5fa2b99cb,,,,True
ca2-f39ef961ac91c6d34016,ethereum,0xd1a1c248b253f1fc60eacd90777b9a63f8c8c1bc,,,0x3f5a881db86d6f495823028a1e892e7b2cd7e162,0x06147e073b854521c7b778280e7d7dbafb2d4898,,True
ca2-f52d9b4393b86654cabd,ethereum,0x40c31236b228935b0329eff066b1ad96e319595e,0xe468b43b4ae4d750cd6a5d7edacc1a751302c99c,0xba86cd28d937f1cc7c74a365368477408578364a,,,,True
