path,phase,required,owner,status,revision,sha256,consumes,evidence_ids,confidentiality,produced_by,verified_by,verification_id,verification_event_id,provenance_event_id,schema_id,schema_revision,semantic_type,na_policy_code,na_reason_code,verifier_registry_id,signing_key_id,updated_at,notes
00-governance/intake-original.md,INTAKE,true,root-integration-owner,DRAFT,1,5c71be2f9037ceb1a2c7c26af8cf9def6d5528cbd2058b2ebb82e29d2213ef20,,INPUT-001,UNRESOLVED,single-input-kickoff,,,,,S4::00_governance_intake_original_md,1,intake_original,INTAKE_REQUIRED,,,,2026-08-28T19:30:46Z,File existence is not verification.
00-governance/intake.json,INTAKE,true,root-integration-owner,DRAFT,1,13ccf343b8690d2f0b7ac5e5dc892947b6c8ff44b3b1cc2b4f7a53638f37b0ec,00-governance/intake-original.md,INPUT-001,UNRESOLVED,single-input-kickoff,,,,,S4::00_governance_intake_json,1,normalized_intake,INTAKE_REQUIRED,,,,2026-08-28T19:30:46Z,File existence is not verification.
00-governance/program-charter.md,INTAKE,true,root-integration-owner,DRAFT,2,37cf0f46a4aaf3104606cfbb1a96fee3398a03242a880023459ed2489b511670,00-governance/intake.json,,UNRESOLVED,codex-root,,,,PROV-745188067e5e,S4::00_governance_program_charter_md,1,program_charter,CHARTER_REQUIRED,,,,2026-08-28T20:12:55Z,Final local replay revision; independent/human finality remains open.
00-governance/decision-log.md,INTAKE,false,root-integration-owner,DRAFT,1,aa104c55eeec6ff6a28837875c3665a823af96b28fca0a76924a59cd51c1b2e1,00-governance/intake.json,INPUT-001,UNRESOLVED,single-input-kickoff,,,,,S4::00_governance_decision_log_md,1,decision_log,CONTROL_LEDGER,,,,2026-08-28T19:30:46Z,File existence is not verification.
00-governance/study-profile.json,INTAKE,true,root-integration-owner,DRAFT,2,2fc19d2a860a4df6c3db41cc437d33808c76e9a4f2e2679fe9bd1901889c9c22,00-governance/intake.json,,UNRESOLVED,codex-root,,,,PROV-8970162babe9,S4::00_governance_study_profile_json,1,study_profile,PROFILE_REQUIRED_BEFORE_DESIGN,,,,2026-08-28T20:12:55Z,Final local replay revision; independent/human finality remains open.
00-governance/egress-policy.json,INTAKE,false,root-integration-owner,DRAFT,1,946e37e6fc9536b19bb79c9df4ff10824f3b2a35f7891fdcc60ba20a791b3cc1,00-governance/program-charter.md,,UNRESOLVED,codex-root,,,,PROV-0e0fb18453f4,S4::00_governance_egress_policy_json,1,egress_policy,DOCUMENTED_EXCEPTION,,,,2026-08-28T20:05:43Z,Locally produced draft; independent or accountable-human verification remains governed by the phase gates.
00-governance/capability-preflight.json,INTAKE,false,root-integration-owner,DRAFT,1,0f078795a1fb0d4b31412e44659f61025669ed74230874f553e2a6784b51bf31,00-governance/program-charter.md,,UNRESOLVED,codex-root,,,,PROV-f6ed9c14adb2,S4::00_governance_capability_preflight_json,1,capability_preflight,DOCUMENTED_EXCEPTION,,,,2026-08-28T20:05:43Z,Locally produced draft; independent or accountable-human verification remains governed by the phase gates.
01-novelty/problem-investigation.md,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,1,a5dddf07c40eaf7ce0f0b5b55cdb5f50f83527311d37dc6b97ae4b7137f3aaf6,00-governance/program-charter.md,,UNRESOLVED,codex-root,,,,PROV-a9ba3ef54b3d,S4::01_novelty_problem_investigation_md,1,01_novelty_problem_investigation_md_document,CANONICAL_ARTIFACT_POLICY,,,,2026-08-28T20:05:43Z,Locally produced draft; independent or accountable-human verification remains governed by the phase gates.
01-novelty/novelty-claim-specification.md,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,1,afd55bceb50c4795cfd97c08c461a7512f027854715ff2bfb69d6c5d1ac18aa4,01-novelty/problem-investigation.md,,UNRESOLVED,codex-root,,,,PROV-9ff32c9a431b,S4::01_novelty_novelty_claim_specification_md,1,01_novelty_novelty_claim_specification_md_document,CANONICAL_ARTIFACT_POLICY,,,,2026-08-28T20:05:43Z,Locally produced draft; independent or accountable-human verification remains governed by the phase gates.
01-novelty/search-protocol.md,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,1,86f60fefadc794974a765b5a34ef30509a9712fcd6c551dbaf68b3d7cc9aa044,01-novelty/problem-investigation.md,,UNRESOLVED,codex-root,,,,PROV-3c64a6e780c5,S4::01_novelty_search_protocol_md,1,01_novelty_search_protocol_md_document,CANONICAL_ARTIFACT_POLICY,,,,2026-08-28T20:05:43Z,Locally produced draft; independent or accountable-human verification remains governed by the phase gates.
01-novelty/prior-art-query-log.json,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,2,90fce154b8acb822ac1e4fa2599eff42a858ed30bb44d9c64be6504a68a18f05,01-novelty/search-protocol.md,,UNRESOLVED,codex-root,,,,PROV-cdb5b2e7b42c,S4::01_novelty_prior_art_query_log_json,1,prior_art_query_log,NOVELTY_SEARCH_REQUIRED,,,,2026-08-28T20:11:29Z,Schema-v4 normalized local draft; independent scientific and human gates remain open.
01-novelty/prior-art-raw-snapshots.json,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,2,4831e188525d9a86767c910ec98754e824ea20a6ec8534ad11fdfc908936f72c,01-novelty/prior-art-query-log.json,,UNRESOLVED,codex-root,,,,PROV-4621fa385d04,S4::01_novelty_prior_art_raw_snapshots_json,1,prior_art_raw_snapshots,NOVELTY_SEARCH_REQUIRED,,,,2026-08-28T20:11:29Z,Schema-v4 normalized local draft; independent scientific and human gates remain open.
01-novelty/prior-art-dedup-report.json,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,2,062bb3fb6821dffa99888cfdb523da005bd418d376d350a2a4f95d414f672f37,01-novelty/prior-art-raw-snapshots.json,,UNRESOLVED,codex-root,,,,PROV-21fe7db8a23f,S4::01_novelty_prior_art_dedup_report_json,1,prior_art_dedup_report,NOVELTY_SEARCH_REQUIRED,,,,2026-08-28T20:11:29Z,Schema-v4 normalized local draft; independent scientific and human gates remain open.
01-novelty/search-coverage.csv,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,2,66e4aadc129eb011aac8ce3cc92d61fa2ca3b9e0f2491f7cc609d4cec44e3eaf,01-novelty/novelty-claim-specification.md|01-novelty/search-protocol.md,,UNRESOLVED,codex-root,,,,PROV-f06778c1a502,S4::01_novelty_search_coverage_csv,1,search_coverage,NOVELTY_SEARCH_REQUIRED,,,,2026-08-28T20:11:29Z,Schema-v4 normalized local draft; independent scientific and human gates remain open.
01-novelty/evidence-ledger.csv,NOVELTY_AUDIT,true,root-integration-owner,DRAFT,1,e635828d385be768eedaec30ae16b31bc48a3ac5b7afadcbfc6072e95f58d562,01-novelty/search-protocol.md,,UNRESOLVED,codex-root,,,,PROV-ec2fcef76e44,S4::01_novelty_evidence_ledger_csv,1,evidence_ledger,NOVELTY_SEARCH_REQUIRED,,,,2026-08-28T20:05:43Z,Locally produced draft; independent or accountable-human verification remains governed by the phase gates.
